No;Parpol;Suara;
1;Hanura;3,77%;
2;PKPB;1,40%;
3;PPPI;0,72%;
4;PPRN;1,21%;
5;Gerindra;4,46%;
6;Barnas;0,73%;
7;PKPI;0,90%;
8;PKS;7,88%;
9;PAN;6,01%;
10;PPIB;0,19%;
11;PK;0,42%;
12;PPD;0,53%;
13;PKB;4,94%;
14;PPI;0,40%;
15;PNIM;0,30%;
16;PDP;0,86%;
17;PKP;0,34%;
18;PMB;0,40%;
19;PPDI;0,13%;
20;PDK;0,64%;
21;RepublikaN;0,61%;
22;Pelopor;0,33%;
23;Golkar;14,45%;
24;PPP;5,32%;
25;PDS;1,48%;
26;PNBK;0,45%;
27;PBB;1,79%;
28;PDIP;14,03%;
29;PBR;1,21%;
30;Patriot;0,53%;
31;Demokrat;20,85%;
32;PKDI;0,31%;
33;PIS;0,31%;
34;PKNU;1,47%;
41;Merdeka;0,11%;
42;PPNUI;0,14%;
43;PSI;0,14%;
44;Buruh;0,25%;
