No Urut,Partai,Ketua,Suara,Kursi,Paslon 2014,Paslon 2019,Koalisi
1,Nasdem,Surya Paloh,6.72,6.3,Joko Widodo,Joko Widodo,Y
2,PKB,Muhaimin Iskandar,9.04,8.4,Joko Widodo,Joko Widodo,Y
3,PKS,Anis Matta,6.79,7.1,Prabowo Subianto,Prabowo Subianto,N
4,PDIP,Megawati Soekarnoputri,18.95,19.5,Joko Widodo,Joko Widodo,Y
5,Golkar,Aburizal Bakrie,14.75,16.2,Prabowo Subianto,Joko Widodo,Y
6,Gerindra,Suhardi,11.81,13,Prabowo Subianto,Prabowo Subianto,N
7,Demokrat,Susilo Bambang Yudhoyono,10.19,10.9,Prabowo Subianto,Prabowo Subianto,N
8,PAN,Hatta Rajasa,7.59,8.7,Prabowo Subianto,Prabowo Subianto,Y
9,PPP,Suryadharma Ali,6.53,7,Prabowo Subianto,Joko Widodo,Y
10,Hanura,Wiranto,5.26,2.9,Joko Widodo,Joko Widodo,Y
14,PBB,Yusril Ihza Mahendra,1.46,0,Prabowo Subianto,Joko Widodo,N
15,PKPI,Sutiyoso,0.91,0,Joko Widodo,Joko Widodo,Y
